user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,joined_years_ago,stats_mean_score,stats_rewatched,stats_episodes,Female,dummy_age_18to25,dummy_age_26to30,dummy_age_31+
556457,26,277,79,38,264,128.43,9,8.98,68,7810,0,1,0,0
104663,28,1049,51,14,55,202.0,12,7.65,2,13176,1,0,0,1
54342,8,343,61,110,51,173.5,12,7.6,0,10263,0,0,0,1
467405,27,388,23,96,62,126.71,9,7.69,0,7680,1,1,0,0
264007,29,868,14,39,31,275.41,11,7.96,5,16633,1,0,1,0
1198155,21,572,31,143,218,163.89,8,6.04,5,10072,0,1,0,0
186514,35,1093,57,1,25,184.7,11,9.0,0,12516,0,0,0,1
325375,48,501,48,126,79,229.18,10,8.03,138,13538,0,0,0,1
1537775,10,902,81,4,113,245.73,8,8.02,0,14950,0,0,1,0
37922,47,972,17,77,1,287.96,12,5.92,0,16830,0,0,0,1
244799,44,997,27,14,176,296.02,11,7.65,15,17790,0,0,1,0
4520972,6,307,482,23,185,60.71,5,6.08,3,3695,0,0,0,1
95656,8,545,2,123,33,169.1,12,5.4,3,10419,0,0,1,0
377309,23,674,41,50,364,171.73,10,7.27,61,10707,0,1,0,0
37329,15,254,110,39,5,78.79,12,7.5,2,4677,0,0,0,1
104753,21,987,29,24,35,601.24,12,6.98,206,35711,0,0,0,1
128484,12,1027,74,29,281,174.9,12,6.84,10,11248,0,0,1,0
57163,13,421,103,62,47,149.16,12,7.28,24,8885,0,0,1,0
383708,54,694,116,22,120,211.92,10,8.07,58,12989,1,0,0,1
413549,156,1300,43,20,73,263.32,10,6.5,73,16365,0,0,0,1
238621,39,493,11,104,214,162.56,11,7.03,32,9748,1,0,1,0
377988,1,301,418,0,15,4.54,10,8.29,0,267,0,0,0,1
227271,22,501,7,72,62,140.45,11,7.49,47,8376,1,0,1,0
1474161,66,922,25,18,224,153.59,8,7.23,31,9643,0,0,1,0
3096,9,725,50,52,102,283.97,13,7.62,0,16706,0,0,0,1
359230,6,410,12,39,155,174.51,10,6.02,173,10447,1,1,0,0
1363333,23,306,242,1,86,99.94,8,8.49,0,5939,1,1,0,0
127139,12,724,26,112,19,168.95,12,7.51,0,10275,1,0,0,1
78823,23,551,52,28,16,282.63,12,6.28,30,18408,1,0,0,1
242816,23,163,153,39,31,83.97,11,7.38,0,4937,0,0,1,0
27065,20,988,30,4,124,245.44,13,6.76,159,15768,0,0,0,1
4658220,37,749,44,74,394,179.48,5,6.93,125,12598,0,0,1,0
5081,2,1082,0,0,238,322.73,13,7.13,0,19266,0,0,0,1
2041727,23,692,57,6,501,123.94,7,7.55,48,7698,1,0,0,1
21108,17,836,10,111,0,245.31,13,6.17,11,14896,0,0,0,1
291566,4,669,88,6,170,124.4,10,8.26,0,7732,0,0,1,0
1694379,17,523,28,61,133,130.08,8,8.92,0,8449,0,0,0,1
1120219,7,220,21,89,62,95.39,8,7.19,36,5653,1,0,0,1
65414,55,501,18,251,94,148.0,12,5.72,17,8782,0,0,1,0
2314491,78,805,32,0,579,490.31,7,6.9,229,29496,0,0,1,0
351728,8,1104,220,106,291,327.66,10,6.36,4,19228,0,0,0,1
212073,18,503,22,70,184,130.97,11,8.17,23,7847,0,1,0,0
141099,9,874,17,126,217,215.5,11,7.69,0,13209,1,0,1,0
4129859,3,458,41,110,38,116.96,6,7.82,47,6936,0,1,0,0
33557,32,285,96,131,32,96.32,12,7.61,11,5610,0,0,0,1
317394,43,318,111,72,476,66.46,10,8.25,37,4257,0,0,0,1
6258,10,1154,32,112,82,292.28,13,6.35,76,17913,1,0,1,0
290083,8,1465,2,30,33,296.88,10,6.73,21,18039,0,0,0,1
95320,30,632,238,2,96,153.54,12,7.81,24,9835,0,0,0,1
71104,13,231,104,42,93,121.7,12,8.64,336,6739,1,0,0,1
1273725,17,434,66,29,161,160.88,8,6.01,63,9427,0,0,1,0
1780047,10,1656,25,0,92,298.1,8,6.38,0,16993,0,0,0,1
25201,39,372,84,84,162,149.32,13,6.98,43,8934,0,0,1,0
290434,26,1532,7,5,244,319.44,10,7.75,32,18961,0,0,0,1
280007,23,461,43,52,56,113.9,10,7.37,0,6692,0,0,1,0
361009,10,1159,0,29,43,241.1,10,5.64,1,14511,0,0,1,0
769999,19,215,105,23,351,97.19,9,6.17,41,6040,0,0,1,0
1119427,23,520,22,73,182,143.25,8,7.09,1,8524,0,0,0,1
164766,17,1493,1,226,112,352.97,11,6.67,0,20963,0,0,0,1
3443,7,530,5,71,4,120.93,13,6.23,60,7202,0,0,0,1
427077,4,150,27,17,7,85.76,10,6.95,434,4279,1,0,0,1
380570,1,497,0,268,5,106.35,10,6.95,0,6403,0,0,0,1
4145987,37,546,19,69,68,164.35,6,6.77,0,9779,0,0,1,0
20102,155,1169,77,137,140,282.57,13,8.62,4,18094,0,0,0,1
310609,39,503,61,43,526,120.04,10,9.63,0,7282,0,0,1,0
301204,51,524,78,76,181,152.02,10,6.56,9,9352,0,0,1,0
48308,9,771,7,54,54,258.1,12,7.26,149,15028,0,0,0,1
160652,24,787,30,52,158,234.35,11,7.95,35,13900,0,0,1,0
24946,26,636,11,518,354,127.24,13,6.59,0,6889,0,0,0,1
442705,6,533,25,72,220,146.83,9,7.33,68,9426,1,0,1,0
434835,14,1074,33,15,151,298.75,9,6.51,6,19562,1,0,1,0
1312873,40,976,18,40,7,263.39,8,7.4,24,15884,1,0,0,1
1162273,15,976,1,211,150,249.42,8,6.16,0,15888,0,0,1,0
21356,68,751,68,0,261,244.98,13,7.16,11,15826,1,0,1,0
152395,12,334,46,80,46,146.78,11,7.33,74,8615,0,0,0,1
10896,1,1057,16,3,49,274.77,13,7.79,0,16771,0,0,1,0
416197,0,107,0,264,0,35.26,10,5.12,6,1982,0,0,0,1
516467,55,528,3,61,77,163.34,9,7.81,24,9734,0,0,1,0
67156,9,329,82,40,178,89.51,12,7.4,9,5260,0,0,0,1
3943263,14,578,135,60,215,111.83,6,7.04,0,7490,0,0,0,1
6309961,31,663,16,168,140,126.36,3,5.45,1,7759,0,1,0,0
6108,17,342,172,47,91,84.41,13,7.72,32,5307,1,0,1,0
26760,16,638,61,81,29,161.14,13,6.93,25,9480,0,0,0,1
1169897,10,576,21,100,96,159.72,8,6.79,16,9551,0,1,0,0
49940,13,646,19,51,12,176.19,12,6.26,14,10566,0,0,1,0
286783,8,521,17,85,73,133.51,10,7.39,59,8613,0,0,1,0
218159,43,295,55,79,542,87.57,11,6.69,0,5283,1,0,1,0
2235015,30,482,26,353,47,167.82,7,6.06,71,10209,1,1,0,0
7088,11,92,35,4,79,111.72,13,7.19,345,6274,1,0,0,1
1777013,85,1383,6,0,88,394.03,8,7.83,92,23816,0,1,0,0
478362,24,346,0,140,37,151.68,9,6.93,6,9270,0,0,1,0
25078,20,1136,12,15,20,291.11,13,6.19,13,18454,0,0,1,0
356261,34,255,149,10,160,101.68,10,7.32,7,6323,0,0,1,0
86725,9,605,28,37,118,139.87,12,7.15,18,8925,0,0,0,1
14049,14,780,24,90,26,229.12,13,7.01,101,14100,1,0,1,0
68654,24,616,20,56,256,167.89,12,6.99,100,10130,0,0,1,0
302582,21,1034,3,56,183,254.08,10,7.44,0,15585,0,0,1,0
1128729,80,1340,125,29,159,269.94,8,7.81,3,17047,0,0,1,0
3024497,12,617,29,61,117,176.64,7,5.09,0,10326,0,1,0,0
337599,16,667,63,80,230,219.02,10,7.87,106,13552,1,0,1,0
176451,1,427,1,8,71,197.78,11,7.56,278,11707,0,0,0,1
87072,21,663,80,47,11,172.76,12,7.82,0,10182,1,0,1,0
1919926,14,890,57,32,72,223.78,8,8.09,3,13251,0,0,0,1
1364435,14,186,36,162,93,53.9,8,5.63,29,3167,1,1,0,0
157870,12,823,42,0,21,661.09,11,6.76,239,39478,0,0,0,1
498851,26,486,81,27,505,110.41,9,9.0,22,7252,1,0,1,0
333367,5,794,3,57,124,201.38,10,5.72,0,11818,0,0,0,1
301471,2,562,5,49,125,153.69,10,8.25,61,8934,0,0,1,0
62207,2,227,215,23,64,116.39,12,7.31,92,6568,0,0,0,1
