user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,joined_years_ago,stats_mean_score,stats_rewatched,stats_episodes,Female,dummy_age_18to25,dummy_age_26to30,dummy_age_31+
299767,152,320,38,2,833,108.44,10,10.0,0,6384,0,0,1,0
355397,111,190,145,18,303,79.08,10,7.7,0,4613,0,0,1,0
1057453,38,240,103,5,496,52.73,9,8.45,0,3100,0,0,0,1
527623,161,846,156,0,1700,230.53,9,7.45,20,13897,0,1,0,0
1211303,216,304,42,6,232,87.68,8,7.82,14,5221,0,1,0,0
4285593,140,363,45,0,444,131.9,6,9.3,7,7884,0,1,0,0
125702,395,400,66,0,69,86.84,12,8.59,20,5211,0,1,0,0
1322273,3,471,3,0,1340,99.92,8,0.0,4,6267,0,1,0,0
3542593,94,1108,215,0,1108,313.8,6,6.7,275,19225,0,1,0,0
73474,438,287,60,15,144,92.69,12,8.27,0,5488,0,0,1,0
2699153,192,313,0,0,442,111.26,7,7.68,0,6638,0,1,0,0
4709766,37,177,37,56,934,41.71,5,6.51,6,2719,0,1,0,0
381114,109,440,0,0,386,75.59,10,7.57,0,5028,0,1,0,0
1058285,1038,35,0,0,1,16.87,9,9.58,0,999,0,0,0,1
106589,48,544,81,36,1178,185.14,12,7.44,40,11221,1,0,0,1
171339,106,579,103,65,1413,185.23,11,5.23,15,10981,1,0,1,0
1359103,99,839,1,0,629,175.09,8,9.08,5,10881,0,0,0,1
6267854,196,42,0,1,397,14.03,3,8.16,0,1018,0,1,0,0
4365687,68,852,0,0,1517,146.92,6,10.0,1,9741,0,1,0,0
243530,302,1031,0,0,2556,273.85,11,5.14,391,17326,0,0,0,1
5635397,76,399,29,16,1256,88.89,4,7.66,6,5529,0,1,0,0
1125915,145,314,1,2,166,123.72,8,7.45,0,7482,0,0,0,1
474449,280,575,20,14,447,84.24,9,6.78,0,5011,0,0,1,0
177503,407,522,0,24,937,118.54,11,7.36,3,7585,0,0,1,0
3784367,125,205,25,17,876,57.04,6,7.84,0,3638,0,0,1,0
2799841,107,651,105,9,1786,200.75,7,8.07,0,12171,0,0,0,1
3841339,175,602,18,6,252,247.06,6,8.22,17,14951,1,1,0,0
4519429,272,631,2,0,763,133.35,5,7.45,0,8709,0,1,0,0
402582,193,600,0,0,269,155.67,10,0.0,0,9162,1,0,0,1
4582416,21,612,12,0,961,132.75,5,6.44,6,8401,0,1,0,0
189408,179,348,44,13,108,101.04,11,8.02,3,6261,0,0,1,0
5261856,95,51,32,5,700,8.12,4,6.63,0,645,1,1,0,0
268410,262,272,2,37,162,107.6,11,7.05,0,6546,0,0,1,0
4636824,68,957,14,0,835,186.58,5,8.08,38,11809,0,1,0,0
31343,32,584,794,0,872,160.86,12,8.15,162,9369,1,0,0,1
3370607,228,466,115,1,817,88.1,7,7.83,0,5367,0,1,0,0
299519,93,856,1,28,497,257.98,10,7.58,0,15556,1,0,0,1
1179209,28,1071,87,47,1104,142.96,8,9.98,0,9496,0,0,0,1
63637,168,741,73,11,674,207.82,12,8.18,122,12805,1,0,1,0
