,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
4617,6.62,216,5122.0,8943,695,1,46.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
4624,6.79,40783,4358.0,1244,65496,22,51.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
4627,7.38,9823,2122.0,2674,19967,18,46.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0
4637,7.84,9535,810.0,2754,18727,18,41.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1
4639,8.47,4330,117.0,3629,10341,36,93.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
4653,7.73,7465,1052.0,3004,15667,23,89.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
4657,7.65,37631,1217.0,1139,72313,265,60.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
4687,7.35,31170,2232.0,1438,55318,103,98.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
4709,6.45,9504,5802.0,2779,18384,21,58.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
4710,8.69,71298,48.0,612,136327,771,64.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
4712,7.1,1631,3248.0,5474,3733,7,95.0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0
4721,6.57,219,5340.0,9349,551,0,82.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4726,7.2,3769,,3504,11227,158,89.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4730,7.16,1120,2965.0,3150,14339,19,105.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
4746,6.74,131,4594.0,9985,389,1,78.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
4760,7.05,987,3395.0,6284,2617,14,96.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
4769,7.11,1644,3171.0,5132,4415,6,100.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
4771,6.26,1091,6540.0,6554,2305,2,44.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
4778,6.84,469,4140.0,8012,1147,1,110.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
4780,4.85,1399,9164.0,6222,2685,2,49.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
4784,7.85,17032,797.0,1718,42374,603,104.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
4795,7.27,1109,2536.0,6329,2570,3,71.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
4798,6.81,286,4299.0,7650,1369,0,130.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
4803,7.73,2919,1048.0,4756,5350,22,72.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
4808,6.37,6404,6128.0,3194,14009,8,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4814,6.61,16169,5165.0,2173,28616,86,55.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
4820,7.99,38941,564.0,1170,70281,356,95.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4826,6.14,187,6952.0,8965,686,0,50.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
4829,6.4,179,5995.0,9046,659,0,87.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
4830,7.88,98895,748.0,520,155274,695,112.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
4832,7.44,1326,1868.0,6150,2772,4,71.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4835,8.05,46998,498.0,1002,84119,199,90.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
4836,7.42,32559,1958.0,1115,74160,300,63.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4852,6.92,890,3846.0,6426,2459,2,90.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1
4865,8.07,27021,472.0,1342,60525,954,111.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
4870,8.29,32369,249.0,1129,73291,473,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4881,7.1,218,3210.0,8422,928,5,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4892,7.53,66565,1557.0,767,112262,153,85.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
4898,6.91,1001,3868.0,6495,2380,2,59.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
4900,7.57,20524,1425.0,1747,41154,53,58.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4907,6.88,100,4008.0,9050,661,1,90.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4909,8.57,42409,76.0,1138,72334,324,95.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
4920,6.57,6265,5348.0,3676,10029,19,42.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
4930,7.69,146690,1128.0,327,221825,590,105.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
4945,6.43,233,5899.0,8506,886,0,87.0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
4948,6.68,304,4841.0,8258,1009,1,93.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
4949,7.74,3403,1019.0,3464,11568,21,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4951,7.63,15654,1265.0,2197,28046,53,60.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
4960,6.67,1971,4904.0,5120,4438,10,45.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
4961,5.48,1670,8403.0,5077,4516,0,87.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0
4967,6.44,137,5859.0,9916,405,0,90.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
4991,6.85,8754,4102.0,2502,22515,71,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4992,6.45,265,5803.0,9122,632,1,45.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
5006,7.42,487,1956.0,7891,1221,2,90.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
5010,6.78,4111,4403.0,3531,11028,3,43.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
5025,6.64,858,5008.0,5738,3325,5,106.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
5034,6.47,143,5727.0,9997,384,0,53.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5042,7.81,8317,857.0,3094,14796,29,112.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5051,7.08,7584,3257.0,3087,14877,8,50.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
5057,7.37,9188,2145.0,2567,21535,78,96.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
5058,6.6,1490,5173.0,5959,2994,0,53.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
5060,7.34,27147,2266.0,1485,52531,138,105.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5063,7.6,60221,1356.0,854,101774,107,102.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
5065,7.95,4405,621.0,2768,18465,32,60.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5071,6.53,629,5487.0,6648,2204,1,91.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1
5083,6.46,3764,5749.0,4152,7498,14,48.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
5090,7.73,21846,1034.0,1311,61884,436,84.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1
5091,8.37,40967,183.0,1262,64556,149,90.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
5094,6.57,1636,5297.0,5845,3154,1,45.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
5117,7.44,37547,1837.0,1325,61341,138,100.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
5128,8.14,1315,389.0,4897,4926,21,57.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
5171,6.89,17758,3974.0,1914,35544,98,72.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0
5173,7.61,3845,1327.0,3853,8979,20,141.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
5178,6.69,3096,4787.0,3755,9516,7,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5190,7.52,8373,1575.0,2940,16485,18,54.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
5195,7.13,26251,3087.0,1662,44281,19,55.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
5200,6.0,874,7356.0,6794,2060,2,48.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
5216,8.41,111344,157.0,438,180246,706,114.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
5220,6.96,5762,3708.0,3146,14369,39,54.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
5250,6.69,318,4784.0,8385,942,2,85.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
5252,7.86,12144,773.0,2626,20810,23,110.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
5253,7.6,1572,1358.0,5631,3484,14,71.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
5255,6.93,46026,3807.0,1132,72815,36,61.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
5258,7.36,6331,2198.0,3444,11714,51,98.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
5265,7.05,361,3363.0,8366,954,1,103.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
5268,7.76,13153,974.0,1703,43009,76,120.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5269,8.22,49113,295.0,914,93731,300,112.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
5271,7.16,675,2985.0,7441,1506,8,91.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5273,7.54,12798,1532.0,2317,25692,52,68.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5279,7.94,6529,635.0,2843,17569,30,100.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
5285,7.21,3083,2765.0,3798,9281,10,93.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
5291,7.19,5236,2836.0,3005,15655,18,86.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
5295,7.31,13548,2385.0,2369,24831,21,46.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
5297,6.19,774,6776.0,6863,1993,2,44.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
5302,6.47,595,5734.0,7355,1575,4,88.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5308,8.13,6520,406.0,3636,10320,47,95.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5317,8.05,9198,489.0,2115,29967,110,89.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
5319,7.62,90122,1287.0,575,144364,576,94.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
5321,6.19,3496,6784.0,4157,7467,8,89.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5322,6.83,2074,4202.0,4634,5684,3,119.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
5346,7.45,6575,1817.0,2489,22976,28,102.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
5365,7.82,36271,842.0,1420,55936,174,48.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
5380,7.7,72842,1106.0,716,119884,134,82.0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
5383,7.26,1037,2565.0,5448,3777,2,77.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5386,6.87,1310,4032.0,6242,2669,5,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5389,6.66,14433,4951.0,2298,25957,119,93.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
5402,7.13,44087,3072.0,1125,73569,143,115.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
5422,6.98,232,3639.0,8783,762,1,52.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5425,6.98,45202,3627.0,1070,77556,221,48.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5440,6.38,100,6072.0,8707,795,0,85.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
5444,7.9,4912,699.0,3561,10773,38,51.0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
5446,8.27,184194,266.0,191,314307,3821,46.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
5460,6.96,962,3720.0,6428,2450,7,75.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5461,6.9,33399,3928.0,1477,52884,58,81.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
