,episodes,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
0,12,7.63,139250,1274.0,231,283882,2809,24.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,26,7.89,91206,727.0,366,204003,2579,24.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2,51,7.55,37129,1508.0,1173,70127,802,24.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
3,38,8.21,36501,307.0,916,93312,3344,16.0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
4,25,8.67,107767,50.0,426,182765,2082,24.0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
5,50,8.03,21618,526.0,1630,45625,826,24.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26,7.26,9663,2594.0,2490,22778,122,24.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
7,24,7.72,126085,1066.0,332,220591,1075,24.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
8,11,8.24,53908,281.0,988,85660,282,23.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
9,26,8.34,335137,205.0,69,538843,24072,23.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
10,12,8.15,66565,374.0,799,108186,1123,24.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
11,26,8.2,315130,314.0,71,531292,14436,24.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
12,12,8.23,53285,288.0,945,89543,726,24.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
13,13,7.71,281448,1093.0,88,482105,4064,24.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
14,366,7.9,433097,693.0,18,819284,40718,24.0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
15,26,7.53,175388,1546.0,188,317641,3271,24.0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
16,25,8.13,212710,400.0,111,417136,8041,22.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
17,500,8.18,385179,337.0,20,794112,42846,23.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
18,161,7.85,59911,802.0,623,134537,2742,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,25,8.39,557898,174.0,13,910373,35322,24.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
20,25,8.49,122090,108.0,374,201720,1023,24.0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
21,26,7.77,33244,941.0,1291,62951,1403,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,25,8.24,90699,282.0,488,164738,4668,24.0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
23,25,8.47,62720,116.0,757,114340,1116,22.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
24,26,7.68,14619,1158.0,1793,39422,274,23.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
25,25,8.29,89081,246.0,348,213902,4524,22.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,25,7.7,91187,1108.0,473,170224,2632,24.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
27,60,8.02,136105,528.0,208,302082,3785,24.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
28,39,7.87,16772,753.0,1654,44633,500,24.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
29,77,8.33,44132,213.0,646,130264,2474,24.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30,12,7.1,142827,3193.0,285,244791,1641,24.0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
32,26,7.77,167968,939.0,222,292572,7579,24.0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
33,39,8.04,23467,512.0,1313,61739,1059,25.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
35,51,8.18,7348,333.0,2523,22123,365,25.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,25,7.64,126326,1233.0,297,235764,3254,24.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
37,39,8.16,11924,362.0,2233,27481,201,25.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
38,167,7.9,181978,697.0,141,371313,12282,24.0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
39,12,6.3,16688,6380.0,1858,37256,48,24.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,11,8.34,47983,203.0,995,84808,381,22.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
41,25,7.92,69224,656.0,527,152490,2579,25.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42,24,7.53,236083,1545.0,103,433343,3680,24.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
43,25,8.32,167429,216.0,172,332666,6846,24.0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
44,23,8.41,87363,163.0,381,198927,4443,22.0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
45,13,8.14,138954,383.0,259,266342,6387,24.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
46,70,8.21,121898,297.0,292,237669,9453,25.0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
47,78,7.78,6598,919.0,3045,15211,216,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
48,12,8.12,133548,412.0,322,224494,1117,23.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
49,12,8.07,69250,469.0,701,121752,2908,23.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
50,12,6.49,5866,5635.0,3214,13818,18,24.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
51,12,7.99,86423,568.0,568,146369,4707,24.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
52,25,7.63,36820,1273.0,1138,72255,1126,24.0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
53,13,7.92,40618,655.0,795,108764,825,24.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
55,45,8.13,28791,399.0,1016,82925,1907,25.0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
58,4,7.14,16149,3026.0,1950,34469,184,32.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
59,6,6.15,2806,6924.0,3977,8265,3,9.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
61,25,7.42,1911,1953.0,4119,7644,7,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
63,12,5.91,4687,7553.0,2963,16223,13,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
66,10,6.41,34990,5978.0,1025,81824,158,23.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
68,10,5.2,4722,8835.0,2533,22001,47,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,4,5.92,161,7526.0,8668,811,0,18.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
71,2,5.63,953,8135.0,6716,2147,3,29.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
73,13,6.95,8111,3731.0,2600,21106,159,26.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
74,26,8.14,178001,383.0,183,322621,7149,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
75,2,6.93,10761,,2808,17989,92,30.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
77,12,7.47,14763,1744.0,1826,38419,143,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
79,12,6.03,5918,7274.0,3130,14460,13,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
80,2,5.81,1221,7768.0,6326,2569,0,27.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
81,13,7.88,75431,748.0,468,171855,2868,24.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
82,2,7.77,34252,949.0,1245,65495,94,24.0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
83,12,7.5,48992,1623.0,821,105762,800,24.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
84,25,6.47,855,5712.0,5092,4497,7,24.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
87,22,7.69,74531,1138.0,347,214467,1717,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
88,42,7.42,18254,1948.0,1730,41792,219,23.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
89,13,8.02,94024,530.0,367,203942,3337,23.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
90,12,8.85,14981,25.0,1724,42265,393,24.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
91,26,6.06,476,7203.0,4956,4777,15,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
92,12,7.27,34590,2517.0,1035,80620,210,23.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
94,2,7.7,2401,1107.0,4512,6066,2,23.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
95,12,7.36,44138,2208.0,856,101587,501,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,12,6.28,8677,6469.0,2624,20817,26,6.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
99,22,7.12,6103,3141.0,2509,22360,55,24.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
101,12,7.73,32925,1027.0,1064,77826,539,24.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
102,12,7.2,27215,2797.0,1135,72634,147,23.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
103,13,6.84,1228,4154.0,5286,4052,6,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
104,26,7.85,42588,804.0,949,89198,1702,22.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
105,12,7.01,25496,3541.0,1133,72747,159,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,131,7.78,102780,922.0,278,250101,4314,23.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
107,12,6.82,14762,4256.0,1842,37639,65,3.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
108,4,7.56,6748,,3031,15385,437,30.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
109,12,7.71,33779,1085.0,922,92722,609,25.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,12,6.78,11034,4413.0,2572,21460,83,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
112,25,7.0,3288,3582.0,3394,12136,20,20.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,25,7.63,76059,1278.0,479,167555,1748,25.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
116,175,8.08,423745,452.0,19,818652,37733,24.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
118,14,6.93,10578,3827.0,2514,22259,36,4.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
121,2,7.18,1708,2904.0,4616,5737,4,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
122,12,5.66,6457,8089.0,2460,23317,20,24.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
123,13,5.62,2571,8161.0,4141,7543,27,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
124,12,6.87,23159,4042.0,1601,46881,164,24.0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
125,4,5.72,4795,7947.0,3880,8804,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,2,6.72,9503,,2820,17853,66,30.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
127,24,7.7,2684,1111.0,3338,12673,68,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
128,2,7.04,1091,,5651,3451,14,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
129,2,5.58,8348,8228.0,2980,15962,30,30.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
131,25,6.71,23040,4731.0,1561,48456,253,21.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
133,13,7.96,93040,609.0,516,156252,386,24.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
134,42,7.37,318,2149.0,6820,2036,7,24.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
136,2,6.91,9271,3870.0,2783,18357,30,12.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
137,24,5.91,7131,7550.0,2833,17706,28,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
138,12,7.05,20905,3358.0,1415,56161,462,24.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
139,2,6.57,1696,5325.0,5184,4283,3,18.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
140,13,7.55,39360,1514.0,1020,82352,213,23.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
141,26,7.61,22411,1339.0,1471,53314,387,25.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
143,13,6.51,10489,5553.0,2200,27988,40,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
148,12,6.97,175745,3680.0,224,291333,1153,24.0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
149,3,7.53,10221,,2596,21169,326,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
152,5,6.3,1220,,5705,3376,5,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
153,178,8.01,48149,550.0,806,107492,2833,22.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
154,2,7.22,14625,2719.0,2150,29153,131,30.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
155,5,6.09,482,7102.0,7736,1305,0,29.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
160,13,7.51,102220,1602.0,440,180124,569,3.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
161,24,8.07,2651,465.0,4412,6408,102,23.0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
162,22,7.56,5709,1463.0,3012,15577,65,23.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
163,13,7.98,389033,578.0,51,630486,6925,24.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
164,13,7.33,10514,2299.0,2470,23096,52,24.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
168,4,7.03,4693,3449.0,3722,9711,43,36.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
169,25,8.21,285107,299.0,61,563076,14200,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
170,12,6.71,18133,4733.0,1715,42517,168,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
171,12,7.84,37344,807.0,724,118834,1083,22.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
172,11,7.34,22974,2281.0,1518,51051,179,24.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
176,3,6.66,1849,4917.0,5181,4283,7,28.0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0
177,5,6.9,847,3924.0,6992,1888,3,11.0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
178,12,7.93,119405,668.0,354,212461,2548,24.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
179,26,7.68,381,1166.0,7272,1649,31,20.0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
181,13,7.82,53881,837.0,855,101713,346,23.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
183,2,7.1,234,3211.0,8196,1041,4,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
185,12,6.02,220738,7313.0,145,361605,2420,25.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
186,51,5.91,146,7539.0,7352,1578,2,20.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
187,24,8.24,37675,276.0,1261,64574,588,27.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
188,52,7.68,81885,1147.0,464,173776,5040,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
189,4,5.13,377,8919.0,8342,965,1,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
190,13,6.08,3116,7162.0,3890,8735,5,12.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
195,26,8.09,3201,450.0,3959,8376,114,24.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
199,4,6.65,4508,4973.0,3504,11220,8,5.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
202,23,7.99,136841,566.0,161,342724,8663,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
204,2,8.15,23974,378.0,1592,47208,94,26.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
205,12,8.87,27311,24.0,1107,74830,1395,24.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
206,12,6.71,2736,4692.0,4384,6483,12,23.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
207,2,6.51,1440,,5194,4268,38,29.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
210,26,7.25,10848,2612.0,2055,31446,100,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
211,12,7.48,173199,1696.0,213,300154,3587,24.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
213,26,6.71,5491,4700.0,3310,12960,27,23.0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
215,3,7.64,3312,1236.0,3812,9191,138,65.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
218,12,6.43,41266,5879.0,972,87328,116,24.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
219,11,7.45,8804,1821.0,2199,28032,124,22.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
221,48,7.2,4936,2825.0,3113,14616,203,24.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
222,13,6.8,15083,4322.0,1130,72818,287,23.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
223,148,9.11,403377,8.0,35,720920,64375,23.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
224,12,8.23,45273,286.0,921,92898,855,23.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
225,3,6.35,348,6199.0,8527,876,5,30.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
226,11,8.64,31558,63.0,1038,80448,459,23.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
228,11,7.77,59925,937.0,703,121450,1926,23.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
229,12,7.53,74301,1563.0,554,148187,1894,24.0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
230,26,8.11,83160,425.0,373,201912,3688,24.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
231,4,6.49,12586,5639.0,2440,23492,33,28.0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
234,26,6.52,1111,5509.0,6254,2646,1,3.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235,12,7.11,115107,3152.0,371,203008,1506,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
236,12,6.95,56592,3736.0,712,120462,257,24.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
237,12,7.38,25722,2112.0,1150,71644,289,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
238,12,6.9,10801,3894.0,1249,65420,135,22.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
240,6,7.91,5527,679.0,3729,9670,25,26.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
242,11,6.03,149,7292.0,7324,1604,1,0.6333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
243,48,6.81,452,4274.0,6266,2630,7,24.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
244,11,8.33,54416,207.0,967,87685,448,24.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
246,13,6.56,1314,5376.0,5159,4344,14,24.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
251,4,6.48,1403,,5346,3937,9,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
253,12,6.91,1499,3887.0,5291,4048,15,24.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
254,12,7.34,248567,2283.0,110,419349,4188,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
256,25,7.86,56700,788.0,813,106612,2193,24.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
257,22,7.66,26659,1186.0,1565,48328,163,24.0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
258,12,7.56,22487,1461.0,1189,69028,235,23.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
259,48,6.89,14357,3957.0,2235,27404,62,24.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
260,13,6.3,4448,6396.0,3058,15125,16,25.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
263,23,6.16,2352,6888.0,4372,6517,10,22.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
264,9,6.73,15532,4644.0,2003,32815,54,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
265,26,6.57,134,5321.0,9228,593,2,25.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
266,10,5.5,126,8375.0,10266,336,1,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
267,13,7.63,27789,1276.0,1513,51282,62,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
268,13,7.09,3103,3247.0,4793,5250,20,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
269,39,6.37,3241,6122.0,4404,6435,15,25.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
270,6,6.7,3296,4758.0,3986,8234,3,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
271,3,5.32,556,8656.0,8257,1012,2,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
273,13,5.97,9662,7423.0,2256,26935,29,23.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
275,10,6.66,1425,4945.0,4295,6863,19,7.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
276,2,6.74,1329,,5415,3819,11,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
277,9,7.21,10823,2767.0,2274,26531,131,5.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
280,10,6.68,225,4857.0,7262,1653,11,22.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
281,2,7.25,14254,2634.0,2312,25742,71,23.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
282,172,7.43,4293,1915.0,3546,10915,111,21.0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0
283,25,8.26,27365,271.0,1438,55184,660,24.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
