,episodes,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
3157,9,7.13,14931,3073.0,2317,25691,128,16.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
3160,11,7.03,28111,3451.0,1275,63957,191,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
3162,12,6.44,6534,5866.0,3028,15400,36,23.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3164,52,6.37,24273,6104.0,1783,39861,160,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3165,50,7.27,242,2523.0,8053,1124,12,24.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
3166,13,6.6,9988,5226.0,2269,26583,68,24.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
3167,20,7.6,1868,1360.0,4954,4795,21,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3168,3,7.28,5754,2507.0,3377,12301,13,23.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
3170,12,6.64,5370,5021.0,2884,17061,33,23.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3172,10,7.72,3721,1067.0,3889,8757,45,24.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
3173,25,7.03,1819,3457.0,4478,6167,35,24.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
3177,2,7.29,4552,2477.0,3743,9601,28,32.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3181,7,9.02,42842,13.0,762,113928,2432,22.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3182,12,6.76,10615,4492.0,2421,23935,47,24.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3183,4,6.46,3257,5749.0,4339,6664,5,27.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
3185,13,6.09,2413,7112.0,4175,7398,13,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
